UnionName,Craftname,Jurisdication,Phone,Fax,Website
Local 56,STAGE EMPLOYEES,Montreal | QC,514-844-7233,514-844-5846,iatse56.com
Local 58,STAGE EMPLOYEES,Toronto | ON,416-364-5565,416-364-5987,www.iatse58.org
Local 63,MIXED,Winnipeg | MB,204-944-0511,204-944-0528,www.iatse63.org
Local 105,MIXED,London-St. Thomas-Sarnia | ON,519-661-8639,519-433-5742,http://new.iatse105.ca/
Local 118,STAGE EMPLOYEES,Vancouver | BC,604-685-9553,No Fax Phone,www.iatse118.com
Local 129,STAGE EMPLOYEES,Hamilton-Brantford | ON,(905) 5704335,No Fax Phone,iatselocal129.com
Local 168,STAGE EMPLOYEES,Vancouver Island | BC,250-381-3168,866-618-3848,www.iatse168.com
Local 210,STAGE EMPLOYEES,Edmonton | AB,780-423-1863,780-426-0307,www.iatse210.com
Local 212,STAGE EMPLOYEES,Calgary | AB,403-250-2199,403-250-9769,www.iatse212.com
Local 262,OPERATORS,Montreal | QC,514-937-6855,514-937-8252,www.iatselocal262.com
Local 295,MIXED,Regina-Moose Jaw | SK,306-545-6733,306-545-8440,www.iatse295.com
Local 300,MIXED,Saskatoon | SK,306-370-5744,No Fax Phone,No Site Found
Local 56,STAGE EMPLOYEES,Montreal | QC,514-844-7233,514-844-5846,iatse56.com
Local 58,STAGE EMPLOYEES,Toronto | ON,416-364-5565,416-364-5987,www.iatse58.org
Local 63,MIXED,Winnipeg | MB,204-944-0511,204-944-0528,www.iatse63.org
Local 105,MIXED,London-St. Thomas-Sarnia | ON,519-661-8639,519-433-5742,http://new.iatse105.ca/
Local 118,STAGE EMPLOYEES,Vancouver | BC,604-685-9553,No Fax Phone,www.iatse118.com
Local 129,STAGE EMPLOYEES,Hamilton-Brantford | ON,(905) 5704335,No Fax Phone,iatselocal129.com
Local 168,STAGE EMPLOYEES,Vancouver Island | BC,250-381-3168,866-618-3848,www.iatse168.com
Local 210,STAGE EMPLOYEES,Edmonton | AB,780-423-1863,780-426-0307,www.iatse210.com
Local 212,STAGE EMPLOYEES,Calgary | AB,403-250-2199,403-250-9769,www.iatse212.com
Local 262,OPERATORS,Montreal | QC,514-937-6855,514-937-8252,www.iatselocal262.com
Local 295,MIXED,Regina-Moose Jaw | SK,306-545-6733,306-545-8440,www.iatse295.com
Local 300,MIXED,Saskatoon | SK,306-370-5744,No Fax Phone,No Site Found
Local 56,STAGE EMPLOYEES,Montreal | QC,514-844-7233,514-844-5846,iatse56.com
Local 58,STAGE EMPLOYEES,Toronto | ON,416-364-5565,416-364-5987,www.iatse58.org
Local 63,MIXED,Winnipeg | MB,204-944-0511,204-944-0528,www.iatse63.org
Local 105,MIXED,London-St. Thomas-Sarnia | ON,519-661-8639,519-433-5742,http://new.iatse105.ca/
Local 118,STAGE EMPLOYEES,Vancouver | BC,604-685-9553,No Fax Phone,www.iatse118.com
Local 129,STAGE EMPLOYEES,Hamilton-Brantford | ON,(905) 5704335,No Fax Phone,iatselocal129.com
Local 168,STAGE EMPLOYEES,Vancouver Island | BC,250-381-3168,866-618-3848,www.iatse168.com
Local 210,STAGE EMPLOYEES,Edmonton | AB,780-423-1863,780-426-0307,www.iatse210.com
Local 212,STAGE EMPLOYEES,Calgary | AB,403-250-2199,403-250-9769,www.iatse212.com
Local 262,OPERATORS,Montreal | QC,514-937-6855,514-937-8252,www.iatselocal262.com
Local 295,MIXED,Regina-Moose Jaw | SK,306-545-6733,306-545-8440,www.iatse295.com
Local 300,MIXED,Saskatoon | SK,306-370-5744,No Fax Phone,No Site Found
Local 56,STAGE EMPLOYEES,Montreal | QC,514-844-7233,514-844-5846,iatse56.com
Local 58,STAGE EMPLOYEES,Toronto | ON,416-364-5565,416-364-5987,www.iatse58.org
Local 63,MIXED,Winnipeg | MB,204-944-0511,204-944-0528,www.iatse63.org
Local 105,MIXED,London-St. Thomas-Sarnia | ON,519-661-8639,519-433-5742,http://new.iatse105.ca/
Local 118,STAGE EMPLOYEES,Vancouver | BC,604-685-9553,No Fax Phone,www.iatse118.com
Local 129,STAGE EMPLOYEES,Hamilton-Brantford | ON,(905) 5704335,No Fax Phone,iatselocal129.com
Local 168,STAGE EMPLOYEES,Vancouver Island | BC,250-381-3168,866-618-3848,www.iatse168.com
Local 210,STAGE EMPLOYEES,Edmonton | AB,780-423-1863,780-426-0307,www.iatse210.com
Local 212,STAGE EMPLOYEES,Calgary | AB,403-250-2199,403-250-9769,www.iatse212.com
Local 262,OPERATORS,Montreal | QC,514-937-6855,514-937-8252,www.iatselocal262.com
Local 295,MIXED,Regina-Moose Jaw | SK,306-545-6733,306-545-8440,www.iatse295.com
Local 300,MIXED,Saskatoon | SK,306-370-5744,No Fax Phone,No Site Found
