Name,MinProjectSize,Wage,Team-Size,Website,location
Origin Films,$1000+,$150 - $199 / hr,Size : 2 - 9,http://www.originfilms.ca/?utm_source=clutch.co&utm_medium=referral,Toronto  Canada
Signature Video Group,$10000+,Undisclosed,Size : 2 - 9,https://www.signaturevideogroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
Archipelago Productions,$5000+,Undisclosed,Size : 2 - 9,https://www.archipelagoproductions.ca/services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Toronto  Canada
Explainify,$10000+,$150 - $199 / hr,Size : 10 - 49,https://explainify.com/?utm_source=clutch&utm_medium=referral,Fayetteville  AR
Rocketwheel,$10000+,$100 - $149 / hr,Size : 2 - 9,https://rocketwheel.com/?utm_source=clutch.co&utm_medium=referral,San Francisco  CA
BKDSN,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.bkdsn.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Montréal  Canada
Key West Video Inc.,$1000+,Undisclosed,Size : 10 - 49,https://www.keywestvideo.com/?utm_source=clutch.co&utm_medium=referral,Toronto  Canada
VCM Interactive Inc.,$1000+,$100 - $149 / hr,Size : 2 - 9,https://www.vcminteractive.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Mississauga  Canada
Momentumm Digital,$1000+,$100 - $149 / hr,Size : 2 - 9,https://momentumm.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Montréal  Canada
Bujou Creative,$1000+,$100 - $149 / hr,Size : 10 - 49,http://www.bujou.ca/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Calgary  Canada
Six Degrees Productions,$1000+,$50 - $99 / hr,Size : 2 - 9,https://sixdegreesproductions.ca/,Vancouver  Canada
Oranje,$5000+,$100 - $149 / hr,Size : 10 - 49,http://www.oranje.io,Vallée-Jonction  Canada
Creamy Animation,$5000+,$100 - $149 / hr,Size : 10 - 49,https://creamyanimation.com,Vancouver  Canada
Great Things Studios,$5000+,$150 - $199 / hr,Size : 2 - 9,https://514gt.com,Montréal  Canada
Switch Video,$10000+,$150 - $199 / hr,Size : 10 - 49,http://www.switchvideo.com,Collingwood  Canada
Simple Story Videos,$10000+,Undisclosed,Size : 10 - 49,http://simplestoryvideos.com,Ottawa  Canada
Symbol Syndication,$1000+,Undisclosed,Size : 2 - 9,http://www.symbolsyndication.com,Calgary  Canada
Your Story Agency,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.your-story.agency,Vancouver  Canada
Mission + Theory,$5000+,Undisclosed,Size : 2 - 9,http://www.missionandtheory.com,Ottawa  Canada
Black Box Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.blackboxproductions.tv/,Montréal  Canada
Cloud in the Sky Studios,$10000+,Undisclosed,Size : 10 - 49,http://cloudintheskystudios.com,Ottawa  Canada
Dancing Line Productions,$10000+,$50 - $99 / hr,Size : 2 - 9,http://www.dancinglineproductions.com,Vancouver  Canada
IND Films,$5000+,$150 - $199 / hr,Size : 2 - 9,https://indfilms.ca,Montréal  Canada
Cat Around Films,$1000+,$100 - $149 / hr,Size : 2 - 9,http://cataroundfilms.com/,Montréal  Canada
REBL HOUSE INC.,$10000+,Undisclosed,Size : 10 - 49,https://www.reblhouse.com/,Montréal  Canada
Intangible,$5000+,$100 - $149 / hr,Size : 2 - 9,http://intangible.co,Toronto  Canada
Picture This Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.picturethis.ca/,Montréal  Canada
Stature Films,$5000+,Undisclosed,Size : 2 - 9,http://www.staturefilms.com,Toronto  Canada
Minifridge Media,$10000+,$100 - $149 / hr,Size : 2 - 9,http://www.minifridgemedia.com,Toronto  Canada
Rubicon Video Service,$1000+,Undisclosed,Size : 10 - 49,http://www.videorubicon.com,Montréal  Canada
Ajax Creative,$10000+,Undisclosed,Size : 2 - 9,http://ajaxcreative.com/?utm_source=clutch.co&utm_medium=referral,Ottawa  Canada
Exaltus,$5000+,Undisclosed,Size : 2 - 9,https://www.exaltus.ca/,Montréal  Canada
Angry Whale Media,$5000+,Undisclosed,Size : 2 - 9,http://awmedia.ca,Mount Albert  Canada
Skylight Productions,$5000+,Undisclosed,Size : 2 - 9,http://www.skylightproductions.ca,St. Jacobs  Canada
Bolan Creative,$5000+,Undisclosed,Size : 2 - 9,http://bolancreative.com,Toronto  Canada
BuzzMasters,$5000+,$50 - $99 / hr,Size : 10 - 49,https://www.buzzmasters.ca/,North Bay  Canada
Jayme Cowley Media Co.,$5000+,$100 - $149 / hr,Size : 2 - 9,http://www.jaymecowleymedia.co,Burnaby  Canada
Moveo Productions,$1000+,Undisclosed,Size : 2 - 9,http://www.moveoproductions.com,Montréal  Canada
