Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Lutins magnifiques (Les) I,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Famine & Shipwreck: An Irish Odyssey,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Dollhouse,Zazie Films Inc.,2020 - 2021,Rich Interactive Media,$250;000.00,N/A,Prototyping,Drama,Application,N/A,Ontario,Canada-Luxembourg Co-Development and Co-Production Incentive,Decision,English,N/A
RIO 10,Inner City Films Inc.,2020 - 2021,N/A,$32;500.00,N/A,Development,Drama,N/A,N/A,Ontario,Canada-South Africa Co-Development Incentive,Decision,English,N/A
The Transmogrification of St. Bunnycrisp,Arcana Studio Inc.,2020 - 2021,N/A,$31;815.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Canada-South Africa Co-Development Incentive,Decision,English,N/A
Blood Horn,Don Carmody Television Inc.,2020 - 2021,N/A,$32;500.00,N/A,Development,Drama,N/A,N/A,Ontario,Canada-South Africa Co-Development Incentive,Decision,English,N/A
Giltrude’s Dwelling,Peterson Polaris Corp.,2020 - 2021,N/A,$58;013.00,N/A,Development,Drama,N/A,N/A,Alberta,Canada-Luxembourg Co-Development and Co-Production Incentive,Decision,English,N/A
Spice Boys 2021 (Les) I,Hermine & Paul Productions Inc.,2020 - 2021,N/A,$17;860.00,N/A,Development,Drama,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Ces femmes qui se libèrent I,Les Productions Nadiaz Inc.,2020 - 2021,N/A,$29;580.00,N/A,Development,Documentary,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Smartsplit Audiovisuel,IPtoki,2020 - 2021,Software,$250;000.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
STRUKTUR,Les Jeux Servo Ltée,2020 - 2021,Game,$153;204.00,N/A,Prototyping,N/A,Downloadable,2,Quebec,Prototyping,Decision,Bilingual,2
