Title,Description,link
Film and Video Distribution (87F0010X),This product provides an overview of trends in the film and video distribution industry. It provides users with information required for making corporate decisions| monitoring programs and reviewing policies ...,https://www150.statcan.gc.ca/n1/en/catalogue/87F0010X
Film| Television and Video Production (87-010-X),This product provides an overview of trends in the film| television and video production industry. It provides users with information to monitor growth of the industry| measure performance| monitor programs ...,https://www150.statcan.gc.ca/n1/en/catalogue/87-010-X
Film and video distribution| industry expenditures (21-10-0069-01),The operating expenses by North American Industry Classification System (NAICS) which include all members under industry expenditures| for motion picture and video distribution (NAICS 512120)| annual (percent) ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110006901
Film and video distribution| industry profile (21-10-0075-01),Profile of the film and video distribution industry| for Canada| x 1|000|000| available every two years.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007501
Film and video distribution| distribution revenue (21-10-0074-01),Distribution revenue for film and video distribution industry| for Canada| in dollars x 1|000|000| available on annual basis.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007401
Film and video distribution| summary statistics (21-10-0068-01),The summary statistics by North American Industry Classification System (NAICS) which include: operating revenue (dollars x 1|000|000)| operating expenses (dollars x 1|000|000)| salaries wages and benefits ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110006801
Film| television and video production| summary statistics (21-10-0059-01),The summary statistics by North American Industry Classification System (NAICS) which include: operating revenue (dollars x 1|000|000)| operating expenses (dollars x 1|000|000)| salaries wages and benefits ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110005901
Film| television and video production| industry expenditures (21-10-0079-01),The industry expenditures for the film| television and video production industry| (NAICS 512110)| for five years of data.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007901
The Daily — Film| television and video production| 2019,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210311/dq210311e-eng.htm
Film| television and video post-production| industry expenditures (21-10-0067-01),The operating expenses by North American Industry Classification System (NAICS) which include all members under industry expenditures| for post-production and other motion picture and video industries ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110006701
Film| television and video post-production| summary statistics (21-10-0066-01),The summary statistics by North American Industry Classification System (NAICS) which include: operating revenue (dollars x 1|000|000)| operating expenses (dollars x 1|000|000)| salaries wages and benefits ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110006601
Film| television and video production| production revenue by type of production (21-10-0078-01),The production revenue by by type of production| for the film| television and video production industry| (NAICS 512110)| for five years of data.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007801
The Daily — Data tables: Film and video distribution| 2015 (revised data),Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210222/dq210222f-eng.htm
Film| television and video post-production| industry profile based on type of revenue (21-10-0077-01),The industry profile based on type of revenue which includes all members under film| television and video post-production industry (NAICS 512190) for one year of data.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007701
NAICS 2017 Version 3.0 - 326114 - Plastic film and sheet manufacturing - Canadian industry,North American Industry Classification System (NAICS) Canada 2017 Version 3.0 - This Canadian industry comprises establishments primarily engaged in converting plastics resins into unsupported plastic…,http://www23.statcan.gc.ca/imdb/p3VD.pl?CLV=5&CPV=326114&CST=01012017&CVD=1182718&Function=getVD&MLV=5&TVD=1181553
NAICS 2017 Version 3.0 - 32611 - Plastic packaging materials and unlaminated film and sheet manufacturing - Industry,North American Industry Classification System (NAICS) Canada 2017 Version 3.0 - This industry comprises establishments primarily engaged in converting plastic resins into unsupported plastic films| sheets…,http://www23.statcan.gc.ca/imdb/p3VD.pl?CLV=4&CPV=32611&CST=01012017&CVD=1182006&Function=getVD&MLV=5&TVD=1181553
The Daily — Revenue and expenses drop for Canada's film| television and video distribution industry in 2019,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210218/dq210218e-eng.htm
Film Audio and Audio Visual Industry (87C0015),Custom tabulations on a cost recovery basis for clients who have specific data requirements.,https://www150.statcan.gc.ca/n1/en/catalogue/87C0015
Film| television and video post-production| industry profile based on domestic and foreign sales (21-10-0076-01),The industry profile based on foreign and domestic sales which includes all members under film| television and video post-production industry (NAICS 512190) for one year of data.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110007601
The Daily — Revenues and expenses up for Canada's film| television and video post-production industries in 2019,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/201104/dq201104c-eng.htm
NAICS 2017 Version 3.0 - 326114 - Plastic film and sheet manufacturing - All examples,This Canadian industry comprises establishments primarily engaged in converting plastics resins into unsupported plastic film and sheet.,http://www23.statcan.gc.ca/imdb/p3VD.pl?CLV=5&CPV=326114&CST=01012017&CVD=1182718&Function=getAllExample&MLV=5&TVD=1181553&V=369982&VST=01012017
Surveys and statistical programs - Survey of Service Industries: Film and Video Distribution (DIST),This survey collects the financial and operating data needed to develop national and regional economic policies and programs.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2414
Surveys and statistical programs - Survey of Service Industries: Film| Television and Video Production (PROD),This survey collects the financial and operating data needed to develop national and regional economic policies and programs.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2413
Surveys and statistical programs - Survey of Service Industries: Film| Television and Video Post-production (POST),This survey collects the financial and operating data needed to develop national and regional economic policies and programs.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2415
The Daily — Motion picture theatres| 2020,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/211004/dq211004f-eng.htm
The Daily — Study: Financial impacts of the pandemic on the culture| arts| entertainment and recreation industries in 2020,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210817/dq210817d-eng.htm
Motion picture theatres| theatre operations (21-10-0180-01),The theatres operations by North American Industry Classification System (NAICS 512130) of Motion picture and video exhibition which include: all members under Theatre operations (NAICS 512130)| every ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018001
Motion picture theatres| e-commerce sales (21-10-0220-01),Motion picture theatres| e-commerce sales| by North American Industry Classification System (NAICS) 512130 Motion picture and video exhibition| which include all members under Sales| (dollars X 1|000|000) ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110022001
Motion picture theatres| sales (21-10-0181-01),The sales by North American Industry Classification System (NAICS 512130) of Motion picture and video exhibition which include: all members under Sales| every two years (dollars) for five years of data ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018101
Business and consumer services and culture statistics,Bringing together data| tools and analytical articles about business and consumer services and culture in Canada to provide you the latest information.,https://www.statcan.gc.ca/en/subjects-start/business_and_consumer_services_and_culture
Motion picture theatres| summary statistics (21-10-0178-01),The summary statistics based on the North American Industry Classification System (NAICS 512130) of Motion picture and video exhibition which include: Operating Revenue (x 1|000|000)| Operating Expenses ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110017801
Motion picture theatres| industry expenditures (21-10-0179-01),The industry expenditures by North American Industry Classification System (NAICS 512130) of Motion picture and video exhibition which include all members under Industry expenditures every two years (percent) ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110017901
Culture statistics,The Culture Statistics portal brings together reliable government data| tools and reports to provide you with key information on culture| arts| heritage and sport in Canada.,https://www.statcan.gc.ca/en/subjects-start/business_and_consumer_services_and_culture/culture
The Daily — Trade of culture and sport products| 2019,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210928/dq210928b-eng.htm
List of surveys and statistical programs by record number,A list of active surveys and statistical programs followed by a list of inactive surveys and statistical programs.,http://www23.statcan.gc.ca/imdb-bmdi/pub/index-eng.htm
National culture and sport indicators by domain and sub-domain (36-10-0652-01),Gross domestic product| output and jobs for sport and culture| product perspective| quarterly.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610065201
International and inter-provincial trade of culture and sport products| by domain and sub-domain| provinces and territories (12-10-0116-01),International and inter-provincial trade of culture and sport products| provinces and territories| annual.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210011601
Manufacturing sales by industry and province| monthly (dollars unless otherwise noted) (16-10-0048-01),Monthly provincial and territorial manufacturing sales| by North American Industry Classification System (NAICS)| data in thousands of dollars. Unadjusted and seasonally adjusted values available from ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004801
Manufacturers' sales| inventories| orders and inventory to sales ratios| by industry (dollars unless otherwise noted) (16-10-0047-01),Monthly Canadian manufacturers' sales| new orders| unfilled orders| raw materials| goods or work in process| finished goods| total inventories| inventory to sales ratios and finished goods to sales ratios ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004701
