CompanyName,Location,Description,HyperLink
"Flypack New York, Inc.","Baldwin, New York","Multicam Event Coverage, Live Streaming & Equipment Rentals
FLYPACK NEW YORK  specializes in multi-camera event coverage and live streaming services (including full audio and ISO camera records) for broadcast, sports, music, award ceremonies, corporate events, e-gaming, graduations, panels, TEDs,…",https://www.productionhub.com/profiles/details/297205
Pro Gear Orlando,"Orlando, Florida","Pro Gear Orlando is conveniently located near the Orlando International Airport (MCO) for quick pick up or deliver throughout ALL of Florida.

We offer Production and Grip Equipment, Cameras and Lenses, Lighting and Audio for still as well as video/motion shoots. To round out your project  we…",https://www.productionhub.com/profiles/details/313893
Chroma House Productions,"Miami, Florida","Chroma House is a Miami Video Production Company founded by local Director of Photography Carlos de Varona in 2012.

Attention to detail, communication, and a calm level headed approach to production management, has allowed us to continue working for some of the top brands in the industry.…",https://www.productionhub.com/profiles/details/249061
"Digital FX, Inc.","Baton Rouge, Louisiana","Digital FX, Inc. is a Baton Rouge, Louisiana based video production studio with the largest post-production facility in the region. We specialize in commercial production and visual effects work for broadcast and features with clients ranging from Fortune 500 companies, Hollywood studios and…",https://www.productionhub.com/profiles/details/14762
Tribeca Teleprompting,"New York, New York","From On-camera to Presidential, SLR to Steadicam, Live Network Broadcast to Madison Square Garden - we have years of experience with all kinds of prompting setups.

We are located in Tribeca, NY and love last minute gigs!

From bid to wrap we guarantee flawless service.  No matter the job, big…",https://www.productionhub.com/profiles/details/310664
Shutterworks Rentals Spokane,"Spokane, Washington","Shutterworks is a full-service grip and lighting rental house located in Spokane, Washington. Since 2008, Shutterworks has earned an enviable reputation for providing the best service and equipment to productions across the Inland Northwest. We have outfitted feature films, episodic tv shows,…",https://www.productionhub.com/profiles/details/223064
Warner Bros. Studio Operations,"Burbank, California","Equipment Rentals and Services available to all productions on and off lot:
- sound stage & exterior set rentals, 818.954.2577
- set lighting, 818.954.2322
- grip, 818.954.1863
- production sound, 818.954.2511
- property, drapery, 818.954.5690
- costume rentals, tailoring, manufacturing,…",https://www.productionhub.com/profiles/details/131349
Green Slate Studios,"Orlando, Florida","Most insert stages are located inside of a production company, but Green Slate is different. It’s a stand-alone green screen studio facility that you can rent for a daily rate of only $495. You’ll have complete run of the facility for the length of your production. We’ll even program the electronic…",https://www.productionhub.com/profiles/details/216235
Picture This Production Services,"Portland, Oregon","We are PTPS. A video production services and sound stage rental company in Portland, Oregon. We work for Producers, Directors, Production Companies, Branding & Advertising Agencies, Network Television, Corporate Communications, Event Companies and CMP's. We also provide In-camera LED VFX using…",https://www.productionhub.com/profiles/details/12942
Visions of Light Chicago,"Carol Stream, Illinois","Camera, lighting and grip, sound, and production support, we've got you covered.  We like to say we are the production company to the production companies. For over 15 years, we have supplied dependable crews and reliable equipment to projects for Fortune 500 companies, top advertising agencies,…",https://www.productionhub.com/profiles/details/137819
First Unit Production Services,"Pinellas Park, Florida","First Unit is a full service light and grip rental company serving central Florida with two locations: one in Tampa/St Pete and another in Orlando.  We carry a full line of HMI, LED, tungsten and specialty lighting, as well as Crawford Generators, Chapman and Fisher dollies, and Straight Shoot'r…",https://www.productionhub.com/profiles/details/213413
"ECS Video Systems, Inc.","Boston, Massachusetts","ECS Video Systems, Inc., located just outside of Boston, MA, has been renting teleprompter systems and other unique production tools to the New England video, film and staging communities for more than 30 years. Thank you to the more than 1,400 clients who have helped us reach this milestone. Our…",https://www.productionhub.com/profiles/details/122711
"Bexel | NEP Broadcast Services - Dallas/Fort Worth, TX","Grapevine, Texas","Bexel, an NEP Broadcast Services Company, is celebrating more than 40 years of being a leader in outsourced innovative broadcast solutions for producers of sports, entertainment, and live events. We take pride in servicing our customers’ unique needs and meeting the demands of a changing production…",https://www.productionhub.com/profiles/details/50753
CP Communications - New York,"New York, New York","New York, NY -  CP Communications is a leading provider of live event broadcast production solutions. We provide customized mission-critical audio, video and communications solutions to the premium sports, entertainment, corporate, news, and other live events production markets.

For over three…",https://www.productionhub.com/profiles/details/42174
