 Year,Project, Company, Content_Type, Activity, Region, Program, Language,Amount
2019 - 2020,Nuit blanche I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1
2019 - 2020,Contre-offre I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,610.000.00
2019 - 2020,Code Québec I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,Preuve (La),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Face aux monstres (anc. Tu me fais mourir),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Ça ne se demande pas ! II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2019 - 2020,Huissiers (Les) III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,325.411.00
2019 - 2020,Max et Livia III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,369.744.00
2019 - 2020,Alerte Amber I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.110.000
2019 - 2020,Pas plus bête que nous II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,229.250.00
2019 - 2020,Notre premier flip I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.130.00
2018 - 2019,GTI I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.429.00
2018 - 2019,Maudit mongol I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.000.00
2018 - 2019,Meurtriers sur mesure I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,Faille (La) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.000.000
2018 - 2019,Victor Lessard III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,Ça ne se demande pas ! I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,En pleine Tempête III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,240.164.00
2018 - 2019,Combattants : L’ultime série (Les),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,64.900.00
2019 - 2020,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,239.968.00
2018 - 2019,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,605.462.00
2018 - 2019,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,614.484.00
2018 - 2019,Max et Livia II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,349.702.00
2018 - 2019,Dévisagés I (anc. Défigurés I),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,203.000.00
2018 - 2019,Monstre (Le) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,300.000.00
2018 - 2019,Huissiers (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,279.350.00
2017 - 2018,Huissiers (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,208.000.00
2017 - 2018,Croque-morts (Les) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,29.295.00
2017 - 2018,Pas plus bêtes que nous! I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,155.813.00
2017 - 2018,Porn To Be Wild I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2017 - 2018,Voir grand I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2017 - 2018,Lâchés lousses I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2017 - 2018,Silex I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,631.906.00
2017 - 2018,Silex I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,911.215.00
2017 - 2018,Victor Lessard II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,250.000.00
2017 - 2018,Tu ne m’as pas tuée I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.000.00
2017 - 2018,Histoires en cour II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2017 - 2018,En pleine tempête II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,259.000.00
2016 - 2017,Huissiers (Les) I (1-13),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,195.000.00
2016 - 2017,Victor Lessard: Rouge Mémoire I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2016 - 2017,Tueur si proche (Un) XIII (120-129),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,419.000.00
2016 - 2017,Cirque Alfonse (Le) (1-6),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,96.000.00
2016 - 2017,J’aurais donc dû docteur! I (1-13),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,236.000.00
2016 - 2017,Conquérants du Gril (Les) I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,232.100.00
2016 - 2017,Histoires en cour I (1-11),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2015 - 2016,Code Max II (27-52),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,723.439.00
2015 - 2016,Argonautes (Les) V (177-208),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,929.562.00
