,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
0,USA,"5,14,16,512","1,24,221","8,24,278",871,"4,03,97,375","53,814"
1,India,"3,47,21,174","2,505","4,76,478",,"3,41,54,879","7,948"
2,Brazil,"2,22,04,941","3,720","6,17,521",173,"2,14,14,318",
3,UK,"1,10,97,851","88,376","1,46,937",146,"96,58,375","40,434"
4,Russia,"1,01,31,646","28,486","2,94,024","1,133","88,76,788","37,155"
5,Turkey,"91,18,424","18,100","79,863",167,"87,12,929","25,664"
6,France,"84,60,712","60,866","1,21,171",188,"74,30,199","34,285"
7,Germany,"67,09,218","53,057","1,08,154",479,"56,18,600","58,900"
8,Iran,"61,65,454","2,500","1,30,946",63,"59,90,898","5,163"
9,Spain,"54,22,168","28,900","88,667",48,"49,65,069","3,189"
10,Argentina,"53,76,642","5,301","1,16,874",17,"52,25,452","3,239"
11,Italy,"53,08,180","26,109","1,35,301",112,"48,54,949","13,704"
12,Colombia,"51,01,466","1,720","1,29,295",39,"49,42,391","2,079"
13,Indonesia,"42,59,857",213,"1,43,979",10,"41,11,045",234
14,Mexico,"39,24,638","2,956","2,97,187",204,"32,79,903","2,283"
15,Poland,"39,03,445","22,097","90,306",592,"33,61,528","17,306"
16,Ukraine,"35,88,147","9,590","92,313",355,"32,84,815","25,499"
17,South Africa,"32,55,816","24,785","90,262",36,"29,54,919","5,710"
18,Netherlands,"29,36,761","16,323","20,310",55,"23,14,217","20,127"
19,Philippines,"28,37,016",289,"50,496",47,"27,76,425",380
20,Malaysia,"27,07,402","4,262","31,026",37,"26,20,147","4,985"
21,Czechia,"23,78,728","11,625","34,923",45,"21,00,324",404
22,Peru,"22,58,456",,"2,01,992",,N/A,N/A
23,Thailand,"21,81,960","3,684","21,284",26,"21,15,232","4,531"
24,Iraq,"20,89,669",410,"24,030",13,"20,58,306",800
25,Belgium,"19,80,120","11,851","27,729",44,"14,66,281",
26,Canada,"18,56,748","5,691","30,010",16,"17,83,399","2,720"
27,Romania,"17,96,230",812,"58,019",65,"17,21,785","1,280"
28,Chile,"17,87,676","1,492","38,773",46,"16,91,729","1,685"
29,Japan,"17,29,208",173,"18,376",1,"17,09,839",115
30,Bangladesh,"15,80,559",257,"28,041",3,"15,45,114",181
31,Vietnam,"14,93,237","15,270","28,857",241,"10,64,461","1,033"
32,Israel,"13,53,210",807,"8,230",3,"13,38,561",727
33,Pakistan,"12,90,214",301,"28,849",6,"12,51,914",136
34,Serbia,"12,79,445","1,325","12,306",31,"12,38,118","3,819"
35,Sweden,"12,46,755",,"15,191",,"11,71,165","1,288"
36,Austria,"12,42,333","3,046","13,386",53,"11,74,915","7,102"
37,Hungary,"12,13,318","5,298","37,376",144,"10,16,089","10,503"
38,Portugal,"12,11,130","5,137","18,717",19,"11,22,741","3,406"
39,Switzerland,"11,60,120","5,226","11,920",1,"9,10,462","6,103"
40,Jordan,"10,27,844","3,812","12,118",40,"9,51,537","4,625"
41,Greece,"10,22,141","4,696","19,651",98,"9,43,142","5,065"
42,Kazakhstan,"9,81,435",575,"12,896",9,"9,51,109",791
43,Cuba,"9,63,885",72,"8,313",,"9,55,199",65
44,Morocco,"9,52,189",205,"14,802",4,"9,36,045",165
